feta_cheese,6
cayenne,79
horseradish,13
shellfish,1
lima_bean,4
haddock,4
celery,140
blackberry,6
white_wine,211
hazelnut,45
litchi,1
green_bell_pepper,12
ginger,100
bergamot,1
sage,28
apple,127
corn_grit,1
plum,25
chicken,152
beef_liver,1
strawberry_juice,2
cardamom,17
port_wine,6
kidney_bean,8
wood,2
strawberry_jam,1
soybean,10
rosemary,82
bourbon_whiskey,6
star_anise,10
cereal,3
tea,7
corn,128
popcorn,1
smoke,29
scallop,26
mandarin,1
apricot,40
shrimp,39
artemisia,1
artichoke,14
citrus,26
cabbage,66
smoked_sausage,14
mozzarella_cheese,44
oatmeal,4
cabernet_sauvignon_wine,1
goat_cheese,24
cinnamon,210
peanut_butter,6
cocoa,186
tequila,1
sauerkraut,28
chicken_liver,8
beef,219
parsnip,15
champagne_wine,9
cucumber,82
sweet_potato,12
blueberry,11
almond,184
rutabaga,8
cottage_cheese,8
sour_cherry,7
bartlett_pear,2
chive,120
scallion,69
bitter_orange,16
egg,1303
cream_cheese,50
turnip,28
pimento,1
mussel,32
kiwi,15
squid,8
quince,3
pineapple,20
sesame_oil,13
roasted_beef,11
pistachio,23
lemon,157
wine,59
bean,69
buckwheat,3
saffron,25
meat,96
garlic,510
bread,301
tabasco_pepper,21
cheese,165
pumpkin,22
vegetable,65
orange_flower,5
lemon_peel,48
olive,81
carrot,253
turmeric,35
gin,4
cauliflower,13
cured_pork,6
root,5
lime_juice,15
zucchini,38
wasabi,2
bell_pepper,153
red_wine,125
banana,24
orange_juice,46
juniper_berry,10
chicory,31
vinegar,360
barley,12
thyme,273
grape,13
watermelon,4
berry,8
japanese_plum,1
vanilla,379
marjoram,15
raisin,153
parmesan_cheese,86
butter,1395
porcini,9
turkey,7
mango,9
mushroom,145
beef_broth,112
sesame_seed,8
lettuce,56
asparagus,29
crab,11
honey,87
leaf,3
nectarine,2
liver,6
beer,30
lingonberry,1
octopus,1
pea,46
fennel,72
roasted_pork,3
black_pepper,548
lemongrass,5
emmental_cheese,1
savory,24
currant,47
whiskey,15
kale,2
hop,1
green_tea,5
nut,41
brassica,2
pork_liver,1
frankfurter,7
brandy,54
cognac,36
clam,16
caviar,4
roasted_sesame_seed,5
blackberry_brandy,1
cane_molasses,247
peach,16
endive,21
lard,174
flower,5
brown_rice,2
dill,33
onion,720
caraway,36
parsley,376
milk,693
rum,52
sheep_cheese,1
lemon_juice,249
mustard,252
seed,75
watercress,11
macadamia_nut,1
orange,97
broccoli,23
fruit,43
corn_flake,2
kumquat,3
fish,103
cashew,4
cumin,46
tarragon,72
ham,80
chinese_cabbage,2
bacon,167
cream,640
enokidake,4
truffle,9
pork,83
cacao,1
oat,35
pepper,279
starch,117
avocado,5
shiitake,17
elderberry,1
anise,38
rhubarb,9
fig,14
date,13
lentil,16
raspberry,54
gelatin,53
rice,46
cider,44
wheat,1278
rose,5
macaroni,34
basil,107
oregano,33
tomato,314
leek,89
romano_cheese,5
mint,37
tangerine,9
sake,15
chicken_broth,157
lime,7
mandarin_peel,1
smoked_salmon,9
buttermilk,82
pear,25
nutmeg,155
mace,7
fenugreek,35
rye_bread,2
cherry_brandy,11
roquefort_cheese,6
chamomile,1
tuna,23
celery_oil,49
lavender,22
peanut_oil,7
squash,10
armagnac,6
brussels_sprout,2
seaweed,1
mackerel,4
salmon,26
coriander,55
swiss_cheese,46
beet,8
radish,27
malt,4
wheat_bread,5
walnut,83
apple_brandy,12
sherry,49
potato,300
citrus_peel,1
salmon_roe,2
mutton,1
coconut,20
grapefruit,5
peanut,7
camembert_cheese,8
pork_sausage,39
melon,1
papaya,2
nira,1
lamb,41
provolone_cheese,3
pecan,29
cod,12
black_bean,1
cheddar_cheese,54
bone_oil,9
cherry,48
blue_cheese,7
black_tea,2
tamarind,54
munster_cheese,1
pear_brandy,1
grape_juice,38
red_bean,1
yogurt,28
lobster,9
cranberry,17
jamaican_rum,1
rye_flour,6
yeast,138
veal,33
white_bread,20
soy_sauce,32
whole_grain_wheat_flour,35
chervil,20
black_currant,1
coffee,48
vegetable_oil,392
matsutake,2
black_sesame_seed,2
milk_fat,143
cilantro,13
shallot,169
strawberry,50
anise_seed,9
chickpea,1
orange_peel,41
maple_syrup,9
oyster,12
bay,177
gruyere_cheese,18
olive_oil,455
egg_noodle,10
